"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"99455","04-03-26 19:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Oviedo","3","0","H","1","0","H","2","0","H"
"99423","02-03-26 21:00","Spain","LaLiga","2025/2026","Real Madrid","Getafe","0","1","A","0","1","A","0","0","D"
"98768","01-03-26 21:00","Spain","LaLiga","2025/2026","Girona","Celta Vigo","1","2","A","1","0","H","0","2","A"
"98757","01-03-26 18:30","Spain","LaLiga","2025/2026","Betis","Sevilla","2","2","D","2","0","H","0","2","A"
"98729","01-03-26 16:15","Spain","LaLiga","2025/2026","Valencia","Osasuna","1","0","H","0","0","D","1","0","H"
"98714","01-03-26 14:00","Spain","LaLiga","2025/2026","Elche","Espanyol","2","2","D","1","1","D","1","1","D"
"97486","28-02-26 21:00","Spain","LaLiga","2025/2026","Oviedo","Atl. Madrid","0","1","A","0","0","D","0","1","A"
"97468","28-02-26 18:30","Spain","LaLiga","2025/2026","Mallorca","Real Sociedad","0","1","A","0","1","A","0","0","D"
"97454","28-02-26 16:15","Spain","LaLiga","2025/2026","Barcelona","Villarreal","4","1","H","2","0","H","2","1","H"
"97408","28-02-26 14:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Ath Bilbao","1","1","D","1","0","H","0","1","A"
"97384","27-02-26 21:00","Spain","LaLiga","2025/2026","Levante","Alaves","2","0","H","0","0","D","2","0","H"
"97282","23-02-26 21:00","Spain","LaLiga","2025/2026","Alaves","Girona","2","2","D","1","1","D","1","1","D"
"97260","22-02-26 21:00","Spain","LaLiga","2025/2026","Villarreal","Valencia","2","1","H","2","1","H","0","0","D"
"97251","22-02-26 18:30","Spain","LaLiga","2025/2026","Celta Vigo","Mallorca","2","0","H","0","0","D","2","0","H"
"97235","22-02-26 16:15","Spain","LaLiga","2025/2026","Barcelona","Levante","3","0","H","2","0","H","1","0","H"
"97216","22-02-26 14:00","Spain","LaLiga","2025/2026","Getafe","Sevilla","0","1","A","0","0","D","0","1","A"
"97179","21-02-26 21:00","Spain","LaLiga","2025/2026","Atl. Madrid","Espanyol","4","2","H","1","1","D","3","1","H"
"97158","21-02-26 18:30","Spain","LaLiga","2025/2026","Osasuna","Real Madrid","2","1","H","1","0","H","1","1","D"
"97145","21-02-26 16:15","Spain","LaLiga","2025/2026","Betis","Rayo Vallecano","1","1","D","1","1","D","0","0","D"
"97100","21-02-26 14:00","Spain","LaLiga","2025/2026","Real Sociedad","Oviedo","3","3","D","0","0","D","3","3","D"
"97071","20-02-26 21:00","Spain","LaLiga","2025/2026","Ath Bilbao","Elche","2","1","H","0","0","D","2","1","H"
"97019","18-02-26 20:00","Spain","LaLiga","2025/2026","Levante","Villarreal","0","1","A","0","0","D","0","1","A"
"94613","16-02-26 21:00","Spain","LaLiga","2025/2026","Girona","Barcelona","2","1","H","0","0","D","2","1","H"
"93115","15-02-26 21:00","Spain","LaLiga","2025/2026","Mallorca","Betis","1","2","A","0","2","A","1","0","H"
"93107","15-02-26 18:30","Spain","LaLiga","2025/2026","Levante","Valencia","0","2","A","0","0","D","0","2","A"
"93094","15-02-26 16:15","Spain","LaLiga","2025/2026","Rayo Vallecano","Atl. Madrid","3","0","H","2","0","H","1","0","H"
"93078","15-02-26 14:00","Spain","LaLiga","2025/2026","Oviedo","Ath Bilbao","1","2","A","1","0","H","0","2","A"
"93058","14-02-26 21:00","Spain","LaLiga","2025/2026","Real Madrid","Real Sociedad","4","1","H","3","1","H","1","0","H"
"93046","14-02-26 18:30","Spain","LaLiga","2025/2026","Sevilla","Alaves","1","1","D","1","0","H","0","1","A"
"93035","14-02-26 16:15","Spain","LaLiga","2025/2026","Getafe","Villarreal","2","1","H","1","0","H","1","1","D"
"92998","14-02-26 14:00","Spain","LaLiga","2025/2026","Espanyol","Celta Vigo","2","2","D","0","1","A","2","1","H"
