"id","matchDate","Country","League","Season","homeTeam","awayTeam","HCFT","ACFT","HC1H","AC1H","HC2H","AC2H","HYCFT","AYCFT","HYC1H","AYC1H","HYC2H","AYC2H"
"79642","17-01-26 16:15","Spain","LaLiga","2025/2026","Mallorca","Ath Bilbao","3","7","0","3","3","4","1","8","1","4","0","4"
"79596","17-01-26 14:00","Spain","LaLiga","2025/2026","Real Madrid","Levante","8","0","2","0","6","0","2","1","2","1","0","0"
"79577","16-01-26 21:00","Spain","LaLiga","2025/2026","Espanyol","Girona","5","4","2","2","3","2","5","5","1","1","4","4"
"79548","12-01-26 21:00","Spain","LaLiga","2025/2026","Sevilla","Celta Vigo","6","1","5","0","1","1","3","3","0","1","3","2"
"79021","11-01-26 16:15","Spain","LaLiga","2025/2026","Levante","Espanyol","4","3","1","0","3","3","0","1","0","1","0","0"
"79013","11-01-26 14:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Mallorca","6","5","3","2","3","3","1","5","0","2","1","3"
"77861","10-01-26 21:00","Spain","LaLiga","2025/2026","Valencia","Elche","8","6","5","3","3","3","2","3","0","0","2","3"
"77856","10-01-26 18:30","Spain","LaLiga","2025/2026","Girona","Osasuna","2","1","1","0","1","1","2","6","0","0","2","6"
"77852","10-01-26 16:15","Spain","LaLiga","2025/2026","Villarreal","Alaves","1","6","0","2","1","4","0","2","0","2","0","0"
"77837","10-01-26 14:00","Spain","LaLiga","2025/2026","Oviedo","Betis","5","2","4","0","1","2","3","1","0","0","3","1"
"76527","09-01-26 21:00","Spain","LaLiga","2025/2026","Getafe","Real Sociedad","2","4","1","2","1","2","2","1","1","0","1","1"
"75783","04-01-26 21:00","Spain","LaLiga","2025/2026","Real Sociedad","Atl. Madrid","6","6","6","3","0","3","3","2","2","1","1","1"
"75776","04-01-26 18:30","Spain","LaLiga","2025/2026","Alaves","Oviedo","6","7","0","5","6","2","3","3","1","1","2","2"
"75777","04-01-26 18:30","Spain","LaLiga","2025/2026","Mallorca","Girona","3","6","1","4","2","2","2","1","1","0","1","1"
"75768","04-01-26 16:15","Spain","LaLiga","2025/2026","Real Madrid","Betis","5","8","3","4","2","4","1","1","0","1","1","0"
"75748","04-01-26 14:00","Spain","LaLiga","2025/2026","Sevilla","Levante","5","1","0","0","5","1","3","4","2","1","1","3"
"75735","03-01-26 21:00","Spain","LaLiga","2025/2026","Espanyol","Barcelona","5","7","4","1","1","6","1","0","0","0","1","0"
"75722","03-01-26 18:30","Spain","LaLiga","2025/2026","Elche","Villarreal","6","2","2","2","4","0","3","3","0","1","3","2"
"75715","03-01-26 16:15","Spain","LaLiga","2025/2026","Osasuna","Ath Bilbao","1","9","1","4","0","5","3","3","0","1","3","2"
"75704","03-01-26 14:00","Spain","LaLiga","2025/2026","Celta Vigo","Valencia","2","4","2","4","0","0","1","3","0","0","1","3"
"75696","02-01-26 21:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Getafe","3","2","3","2","0","0","3","4","0","1","3","3"
"75498","22-12-25 21:00","Spain","LaLiga","2025/2026","Ath Bilbao","Espanyol","8","4","3","3","5","1","5","2","3","0","2","2"
"75482","21-12-25 21:00","Spain","LaLiga","2025/2026","Betis","Getafe","7","5","5","0","2","5","0","1","0","1","0","0"
"75483","21-12-25 18:30","Spain","LaLiga","2025/2026","Elche","Rayo Vallecano","4","5","3","3","1","2","2","3","0","1","2","2"
"75484","21-12-25 16:15","Spain","LaLiga","2025/2026","Villarreal","Barcelona","5","10","4","3","1","7","1","1","0","0","1","1"
"75485","21-12-25 14:00","Spain","LaLiga","2025/2026","Girona","Atl. Madrid","3","4","1","3","2","1","2","0","0","0","2","0"
"75448","20-12-25 21:00","Spain","LaLiga","2025/2026","Real Madrid","Sevilla","6","5","4","1","2","4","2","5","1","2","1","3"
"75449","20-12-25 18:30","Spain","LaLiga","2025/2026","Osasuna","Alaves","9","0","4","0","5","0","2","2","0","0","2","2"
"75450","20-12-25 16:15","Spain","LaLiga","2025/2026","Levante","Real Sociedad","7","10","2","4","5","6","6","2","1","1","5","1"
"75451","20-12-25 14:00","Spain","LaLiga","2025/2026","Oviedo","Celta Vigo","4","3","3","1","1","2","2","1","2","0","0","1"
"75375","19-12-25 21:00","Spain","LaLiga","2025/2026","Valencia","Mallorca","12","3","5","2","7","1","2","3","0","0","2","3"
"75358","15-12-25 21:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Betis","8","3","3","1","5","2","4","1","2","1","2","0"
"75339","14-12-25 21:00","Spain","LaLiga","2025/2026","Alaves","Real Madrid","5","7","4","2","1","5","3","1","1","0","2","1"
"75340","14-12-25 16:15","Spain","LaLiga","2025/2026","Celta Vigo","Ath Bilbao","1","4","0","1","1","3","3","2","1","0","2","2"
"75341","14-12-25 14:00","Spain","LaLiga","2025/2026","Sevilla","Oviedo","5","3","0","2","5","1","1","2","0","0","1","2"
"75294","13-12-25 21:00","Spain","LaLiga","2025/2026","Getafe","Espanyol","6","4","2","3","4","1","5","1","3","1","2","0"
"75295","13-12-25 18:30","Spain","LaLiga","2025/2026","Barcelona","Osasuna","14","1","5","0","9","1","0","3","0","1","0","2"
"75296","13-12-25 16:15","Spain","LaLiga","2025/2026","Mallorca","Elche","1","1","0","1","1","0","3","0","1","0","2","0"
"75297","13-12-25 14:00","Spain","LaLiga","2025/2026","Atl. Madrid","Valencia","5","7","2","3","3","4","3","1","2","0","1","1"
"75215","12-12-25 21:00","Spain","LaLiga","2025/2026","Real Sociedad","Girona","4","3","3","2","1","1","1","2","0","0","1","2"
"75145","08-12-25 21:00","Spain","LaLiga","2025/2026","Osasuna","Levante","3","3","2","2","1","1","2","2","1","1","1","1"
"75119","07-12-25 21:00","Spain","LaLiga","2025/2026","Real Madrid","Celta Vigo","8","1","5","1","3","0","6","1","0","0","6","1"
"75120","07-12-25 18:30","Spain","LaLiga","2025/2026","Espanyol","Rayo Vallecano","6","2","3","0","3","2","4","8","1","2","3","6"
"75121","07-12-25 16:15","Spain","LaLiga","2025/2026","Valencia","Sevilla","2","2","1","2","1","0","3","6","0","1","3","5"
"75122","07-12-25 14:00","Spain","LaLiga","2025/2026","Elche","Girona","2","2","2","1","0","1","0","3","0","1","0","2"
"75068","06-12-25 21:00","Spain","LaLiga","2025/2026","Ath Bilbao","Atl. Madrid","5","6","3","3","2","3","3","2","3","1","0","1"
"75069","06-12-25 18:30","Spain","LaLiga","2025/2026","Betis","Barcelona","7","7","2","5","5","2","5","2","1","0","4","2"
"75070","06-12-25 16:15","Spain","LaLiga","2025/2026","Alaves","Real Sociedad","5","8","2","2","3","6","2","2","0","2","2","0"
"75071","06-12-25 14:00","Spain","LaLiga","2025/2026","Villarreal","Getafe","5","3","5","1","0","2","2","4","0","2","2","2"
"75007","05-12-25 21:00","Spain","LaLiga","2025/2026","Oviedo","Mallorca","8","5","5","2","3","3","2","1","0","1","2","0"
"74983","03-12-25 19:00","Spain","LaLiga","2025/2026","Ath Bilbao","Real Madrid","5","7","1","4","4","3","2","0","0","0","2","0"
"74958","02-12-25 21:00","Spain","LaLiga","2025/2026","Barcelona","Atl. Madrid","5","4","2","1","3","3","1","1","1","1","0","0"
"74948","01-12-25 21:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Valencia","10","5","7","2","3","3","1","1","0","0","1","1"
"74931","30-11-25 21:00","Spain","LaLiga","2025/2026","Girona","Real Madrid","2","5","1","3","1","2","3","0","1","0","2","0"
"74932","30-11-25 18:30","Spain","LaLiga","2025/2026","Celta Vigo","Espanyol","4","3","1","1","3","2","1","2","0","0","1","2"
"74933","30-11-25 16:15","Spain","LaLiga","2025/2026","Sevilla","Betis","6","4","1","1","5","3","2","3","0","1","2","2"
"74934","30-11-25 14:00","Spain","LaLiga","2025/2026","Real Sociedad","Villarreal","8","2","2","0","6","2","3","7","1","2","2","5"
"74877","29-11-25 21:00","Spain","LaLiga","2025/2026","Atl. Madrid","Oviedo","7","2","5","1","2","1","0","1","0","0","0","1"
"74878","29-11-25 18:30","Spain","LaLiga","2025/2026","Levante","Ath Bilbao","4","2","3","2","1","0","3","2","2","1","1","1"
"74879","29-11-25 16:15","Spain","LaLiga","2025/2026","Barcelona","Alaves","5","4","1","2","4","2","2","3","1","1","1","2"
"74880","29-11-25 14:00","Spain","LaLiga","2025/2026","Mallorca","Osasuna","2","8","1","2","1","6","3","4","2","2","1","2"
"74795","28-11-25 21:00","Spain","LaLiga","2025/2026","Getafe","Elche","3","5","3","3","0","2","2","2","1","0","1","2"
"74735","24-11-25 21:00","Spain","LaLiga","2025/2026","Espanyol","Sevilla","4","13","1","10","3","3","4","1","0","0","4","1"
"74712","23-11-25 21:00","Spain","LaLiga","2025/2026","Elche","Real Madrid","2","8","2","4","0","4","4","1","0","0","4","1"
"74713","23-11-25 18:30","Spain","LaLiga","2025/2026","Getafe","Atl. Madrid","6","7","0","4","6","3","2","3","1","0","1","3"
"74714","23-11-25 16:15","Spain","LaLiga","2025/2026","Betis","Girona","8","0","3","0","5","0","3","4","1","1","2","3"
"74715","23-11-25 14:00","Spain","LaLiga","2025/2026","Oviedo","Rayo Vallecano","5","6","3","2","2","4","1","2","0","1","1","1"
"74665","22-11-25 21:00","Spain","LaLiga","2025/2026","Villarreal","Mallorca","3","1","3","0","0","1","2","2","0","0","2","2"
"74666","22-11-25 18:30","Spain","LaLiga","2025/2026","Osasuna","Real Sociedad","3","3","2","1","1","2","3","2","0","1","3","1"
"74667","22-11-25 16:15","Spain","LaLiga","2025/2026","Barcelona","Ath Bilbao","5","7","1","4","4","3","0","2","0","1","0","1"
"74668","22-11-25 14:00","Spain","LaLiga","2025/2026","Alaves","Celta Vigo","4","2","1","1","3","1","2","2","1","1","1","1"
"74582","21-11-25 21:00","Spain","LaLiga","2025/2026","Valencia","Levante","7","0","3","0","4","0","4","3","1","2","3","1"
"74505","09-11-25 21:00","Spain","LaLiga","2025/2026","Celta Vigo","Barcelona","2","5","0","2","2","3","1","5","0","1","1","4"
"74506","09-11-25 18:30","Spain","LaLiga","2025/2026","Mallorca","Getafe","1","14","0","8","1","6","0","2","0","2","0","0"
"74507","09-11-25 18:30","Spain","LaLiga","2025/2026","Valencia","Betis","7","2","1","1","6","1","3","3","1","0","2","3"
"74508","09-11-25 16:15","Spain","LaLiga","2025/2026","Rayo Vallecano","Real Madrid","5","8","2","2","3","6","3","2","3","2","0","0"
"74509","09-11-25 14:00","Spain","LaLiga","2025/2026","Ath Bilbao","Oviedo","7","4","6","2","1","2","1","1","0","0","1","1"
"74442","08-11-25 21:00","Spain","LaLiga","2025/2026","Espanyol","Villarreal","4","2","1","2","3","0","0","2","0","0","0","2"
"74443","08-11-25 18:30","Spain","LaLiga","2025/2026","Atl. Madrid","Levante","21","4","13","3","8","1","3","1","0","1","3","0"
"74444","08-11-25 16:15","Spain","LaLiga","2025/2026","Sevilla","Osasuna","5","6","3","4","2","2","5","3","3","1","2","2"
"74445","08-11-25 14:00","Spain","LaLiga","2025/2026","Girona","Alaves","6","1","5","0","1","1","0","3","0","0","0","3"
"74357","07-11-25 21:00","Spain","LaLiga","2025/2026","Elche","Real Sociedad","1","3","0","2","1","1","1","3","0","0","1","3"
"74295","03-11-25 21:00","Spain","LaLiga","2025/2026","Oviedo","Osasuna","4","2","0","2","4","0","3","1","1","1","2","0"
"74268","02-11-25 21:00","Spain","LaLiga","2025/2026","Betis","Mallorca","4","5","2","1","2","4","0","3","0","1","0","2"
"74269","02-11-25 18:30","Spain","LaLiga","2025/2026","Barcelona","Elche","6","3","6","1","0","2","0","1","0","1","0","0"
"74270","02-11-25 16:15","Spain","LaLiga","2025/2026","Alaves","Espanyol","1","6","0","3","1","3","4","2","1","0","3","2"
