"id","matchDate","Country","League","Season","homeTeam","awayTeam","HBPFT","ABPFT","HBP1H","ABP1H","HBP2H","ABP2H","HTSFT","ATSFT","HTS1H","ATS1H","HTS2H","ATS2H","HSONFT","ASONFT","HSON1H","ASON1H","HSON2H","ASON2H","HSOFFFT","ASOFFFT","HSOFF1H","ASOFF1H","HSOFF2H","ASOFF2H"
"74713","23-11-25 18:30","Spain","LaLiga","2025/2026","Getafe","Atl. Madrid","41","59","38","62","45","55","9","13","3","8","6","5","1","6","1","3","0","3","4","2","0","2","4","0"
"74714","23-11-25 16:15","Spain","LaLiga","2025/2026","Betis","Girona","54","46","50","50","59","41","23","11","11","8","12","3","7","4","3","3","4","1","12","2","8","2","4","0"
"74715","23-11-25 14:00","Spain","LaLiga","2025/2026","Oviedo","Rayo Vallecano","39","61","51","49","28","72","8","11","4","3","4","8","3","3","3","0","0","3","4","6","1","1","3","5"
"74665","22-11-25 21:00","Spain","LaLiga","2025/2026","Villarreal","Mallorca","58","42","58","42","58","42","14","9","6","6","8","3","7","3","3","3","4","0","4","4","2","2","2","2"
"74666","22-11-25 18:30","Spain","LaLiga","2025/2026","Osasuna","Real Sociedad","46","54","43","57","49","51","14","19","6","7","8","12","4","9","1","2","3","7","8","5","4","2","4","3"
"74667","22-11-25 16:15","Spain","LaLiga","2025/2026","Barcelona","Ath Bilbao","68","32","61","39","76","24","19","13","8","8","11","5","7","2","4","1","3","1","5","8","2","5","3","3"
"74668","22-11-25 14:00","Spain","LaLiga","2025/2026","Alaves","Celta Vigo","52","48","55","45","48","52","5","7","1","1","4","6","2","4","0","0","2","4","3","2","1","1","2","1"
"74582","21-11-25 21:00","Spain","LaLiga","2025/2026","Valencia","Levante","59","41","59","41","60","40","14","8","9","4","5","4","3","1","1","0","2","1","5","6","3","3","2","3"
"74505","09-11-25 21:00","Spain","LaLiga","2025/2026","Celta Vigo","Barcelona","39","61","36","64","41","59","5","21","4","14","1","7","3","9","3","8","0","1","1","4","1","2","0","2"
"74506","09-11-25 18:30","Spain","LaLiga","2025/2026","Mallorca","Getafe","39","61","46","54","33","67","6","14","2","9","4","5","4","3","1","2","3","1","1","5","1","3","0","2"
